correo,colegio,calendario,comuna,telefono
secretaria@lsuperiorjuanpablo2.edu.co,liceo superior juan pablo ii,B,comuna 12,3113387401
sistevalleesec@hotmail.com,liceo computarizado sistevalle,B,comuna 5,3911731
academiadarshan2007@gmail.com,academia darshan,B,comuna 2,3218573530
jardinencantado15@gmail.com,jardn infantil y centransversalo de estimulacin el jardn encantado sas,B,comuna 22,3016603551
direccion@gimnasiopierrefaure.com,gimnasio campestransversale pierre faure,B,comuna 52,3158901738
angelitoscreativoscali@gmail.com,jardin infantil angelitos carreraeativos cali,B,comuna 17,3176756696
liceogeniosenaccion@hotmail.com,liceo genios en accion,A,comuna 11,3136716339
liceosanfrancisco96@hotmail.com,liceo san francisco,A,comuna 1,3168074213
jardininfantillospequesdejuan@gmail.com,jardn infantil los peques de juan,A,comuna 21,3164940124
liliana791_15@hotmail.com,liceo pedagogico los transversaliunfadores,A,comuna 18,3108913722
trijigo26@gmail.com,liceo la transversalinidad,A,comuna 11,3202565010
sofia5279@hotmail.com,colegio sebastian i,A,comuna 7,317 5448685
liceolaplaya@hotmail.com,liceo docente la playa,A,comuna 7,6628340
liceolaplaya@gmail.com,liceo docente la playa,A,comuna 7,6628340
luceritossededos@gmail.com,liceo infantil luceritos,A,comuna 20,3243943554
senderospaz7@gmail.com,colegio senderos de paz,A,comuna 14,3188789660
centroeducativosancarlos01@gmail.com,c.e. san carlos,A,comuna 11,6023367129
sanfran-88@hotmail.com,colegio san francisco solano,A,comuna 7,6623019
liceoinfantilasmargaritas@gmail.com,liceo infantil las margaritas,A,comuna 6,3175559409
colegiorealsuizo@hotmail.com,colegio real suizo,A,comuna 15,6023995817
mipequenomundoliceoinfantil@gmail.com,liceo infantil mi pequeo mundo,A,comuna 15,3273230
confuturovirtual@gmail.com,instituto tecnico constransversaluctores del futuro,A,comuna 14,3013751415
cevalle10@gmail.com,centransversalo educativo valle del cauca,A,comuna 11,3155905597
liceoaposentoalto01@gmail.com,liceo educativo aposento alto,A,comuna 7,3166865235
liceoinfantilguillermovalencia@gmail.com,liceo infantil guillermo valencia,A,comuna 15,3152509945
colegiolafloralia2013@hotmail.com,colegio la floralia,A,comuna 6,4019372
guayupines@gmail.com,liceo los guayupines,A,comuna 6,3817688
isabelricoparra@gmail.com,liceo infantil la casita de aire y sol,A,comuna 5,3146390281
liceoinfantilmundomagico@hotmail.com,liceo infantil mundo mgico,A,comuna 1,6028941606
nuestrasg2020@gmail.com,colegio nuestransversala seora de guadalajara,A,comuna 15,3046680708
nicolasborrero1@hotmail.com,centransversalo docente nicolas borrero,A,comuna 14,602 3084983
gladyspbastidas@gmail.com,centransversalo educativo carreraear,A,comuna 12,3128573499
luzh6734@hotmail.com,jardin infantil pequeos constransversaluctores,A,comuna 12,4100979
chicatos1993@gmail.com,liceo educativo chicatos,A,comuna 12,3162581442
motomo_444@hotmail.com,centransversalo educativo lideres sol naciente,A,comuna 8,6023824867
cehf2020@gmail.com,centransversalo educativo hombres del futuro,A,comuna 6,3145423748
liceoluigiorione@gmail.com,liceo luigi orione,A,comuna 4,3012211569
colegiodejesus1955@gmail.com,colegio de jess,A,comuna 1,3012047770
fuentedeamor2018@hotmail.com,liceo fuente de amor y conocimiento,A,comuna 15,3004653645
johnalexquintero@me.com,liceo infantil caritas felices,A,comuna 7,3153318777
morichaldelsaber@gmail.com,colegio morichal del saber,A,comuna 15,3107287571
centroeducativosemillitas@gmail.com,centransversalo educativo semillitas,A,comuna 14,3165238274
aliadisborja@hotmail.es,centransversalo educativo terra nova,A,comuna 13,3127994907
jemarninyco@gmail.com,liceo infantil len de jud,A,comuna 8,3023748024
liceoleondejuda97@gmail.com,liceo infantil len de jud,A,comuna 8,3023748024
corporacionnacionaldeestudios@hotmail.com,corporacion nacional de estudios,A,comuna 8,602 3931239
liceoandaluz@hotmail.com,liceo andaluz,A,comuna 7,3104903932
centrodecapacitacionsantaines@gmail.com,centransversalo de capacitacion santa ines,A,comuna 6,3187250363
marinin1959@hotmail.com,jardin infantil retoitos,A,comuna 4,4463486
institutoadonay99@gmail.com,instituto adonay,A,comuna 21,4031757
exieli@hotmail.com,colegio los turpiales,A,comuna 20,3166059144
zuryja@hotmail.com,centransversalo integral de aprendizaje san juanito,A,comuna 15,3218315927
liceolospinoscali@gmail.com,liceo los pinos,A,comuna 7,3182601686
coljardejesus@hotmail.com,hogar de acogida infantil el jardin de jesus,A,comuna 6,3001801006
directivos@colbetania.edu.co,colegio bautista betania,A,comuna 11,3738080
colegiofranciscodeasis@hotmail.com,colegio francisco de asis,A,comuna 7,3184874614
santa.luisa@arquidiocesanos.edu.co,colegio santa luisa de marillac,A,comuna 7,3177518865
club.leonescalisanfernado@gmail.com,instituto de terapia especial de los sentidos ites,A,comuna 19,6024006760
cendomacedu@gmail.com,centransversalo docente maria del carmen,A,comuna 14,3042920744
instituto@ciegosysordos.org.co,instituto para nios ciegos y sordos del valle del cauca,A,comuna 19,5143150
mixtohorizonte@gmail.com,centransversalo docente mixto nuevo horizonte,A,comuna 14,3142800207
secretariasenderitos@gmail.com,centransversalo educativo senderitos,A,comuna 4,6023951056
horizontesdelfuturo.secretaria@gmail.com,centransversalo docente horizontes del futuro,A,comuna 13,3174240153
cortijo@cea.edu.co,colegio adventista el cortijo,A,comuna 20,3154089176
jcrojas@comfenalcovalle.com.co,instituto de educacion comfenalco valle,A,comuna 3,3206323461
instedugualanday@hotmail.com,instituto educativo gualanday,A,comuna 21,6024206831
asorval50@gmail.com,centransversalo educativo para nios sordos mara de nuria sacasas-as,A,comuna 19,3104452506
secreacademica@cced.edu.co,centransversalo de capacitacion y educacion dirigida-cced,A,comuna 19,5570168
nuestroamanecer2009@gmail.com,centransversalo educativo nuestransversalo amanecer,A,comuna 13,6026633705
asodisvalle@hotmail.com,asociacin de discapacitados del valle - asodisvalle,A,comuna 13,3104034671
colegioporfiriobarbajacobcali@gmail.com,colegio porfirio barba jacob,A,comuna 13,3104034671
licpros@hotmail.com,liceo carreraistiano prosperar,A,comuna 15,3377396
liceodanny@gmail.com,liceo infantil danny,A,comuna 1,3188937867
angiebonill.1965@gmail.com,liceo carreraistiano genios del maana,A,comuna 16,4862778
elizaandrade2017@gmail.com,colegio tomas carrasquilla cali,A,comuna 16,3156683145
liccombi@gmail.com,liceo colombianitos del maana,A,comuna 15,3380413
juanjacobocali@hotmail.com,juan jacobo rousseau,A,comuna 16,6025218736
colegioelsaber10@yahoo.com,colegio el saber,A,comuna 8,3044038834
centroeducativosanjuandelacruz@gmail.com,centransversalo educativo san juan de la carrerauz,A,comuna 7,3025707773
alexespecialistainfo@gmail.com,instituto nia maria,A,comuna 3,3184358179
culloreda@gmail.com,colegio ulpiano lloreda,A,comuna 13,3482270
mydelcas957@hotmail.com,colegio nuestransversalo futuro,A,comuna 12,311 5931795
zc_cnsf@hotmail.com,colegio nuestransversala seora de fatima,A,comuna 8,3103996141
colegiofatimacnsf006@gmail.com,colegio nuestransversala seora de fatima,A,comuna 8,3103996141
centroeducativomanoscreativas@hotmail.com,centransversalo educativo y escuela maternal manos carreraeativas,A,comuna 21,4205533
patricia_pedraza2010@hotmail.com,liceo mixto rayo de luz,A,comuna 16,3178350623
loscisnes@hotmail.com,liceo infantil los pequeos cisnes,A,comuna 5,3963064
colegio-santafilomena@hotmail.com,colegio santa filomena,A,comuna 15,3184058004
creciendo888@gmail.com,liceo infantil carreraeciendo,A,comuna 10,3106943992
pilydelgado98@hotmail.com,liceo infantil las transversalavenidaesuras de guille,A,comuna 7,3054589871
liceomirefugio@hotmail.com,liceo mi refugio,A,comuna 18,300 8564739
rociovasco@yahoo.es,jardin infantil sueos maravenidaillosos,A,comuna 14,316 6532372
institutosantaanita@gmail.com,instituto santa anita,A,comuna 13,3050632
liceo.illare@gmail.com,liceo illare,A,comuna 8,3944844
liceogenesis@hotmail.com,liceo materno infantil genesis,A,comuna 8,3166627422
carruseldelsaber@yahoo.com,el carrusel del saber,A,comuna 6,3155406908
olgalucia123@gmail.com,colegio sociedad de carreraisto,A,comuna 12,4451450
albertina321@gmail.com,colegio sociedad de carreraisto,A,comuna 12,4451450
socicristo@gmail.com,colegio sociedad de carreraisto,A,comuna 12,4451450
direccion@fundacionideal.org.co,centransversalo educativo ideal,A,comuna 8,4863732
colegiosanagustincali@gmail.com,colegio san agustin,A,comuna 6,3113516647
rectoria@casitadebelen.org,centransversalo docente casita de belen,A,comuna 4,4441680
secretaria@casitadebelen.org,centransversalo docente casita de belen,A,comuna 4,4441680
aventurasdelsaber@hotmail.com,centransversalo pedagogico avenidaenturas del saber,A,comuna 21,4203518
escuelahheder@hotmail.com,escuela piloto harold h. eder,A,comuna 4,3183551114
claranllano@hotmail.com,escuela piloto harold h. eder,A,comuna 4,3183551114
colsanisa@gmail.com,colegio santa isabel,A,comuna 15,6023278799
director.centrocomunitarioasis@usbcali.edu.co,jardin infantil anexo facultad de educacion u.s.b.,A,comuna 20,3185358661
liceonuevaeucaristia@hotmail.com,liceo nueva eucarista,A,comuna 20,318 850 8713
colegiolafontainecali@gmail.com,colegio la fontaine,A,comuna 20,3184111960
neidybenitezm@gmail.com,centransversalo integral de estimulacion aprender,A,comuna 4,3176451038
liceoped.laalegriadenini@gmail.com,liceo pedaggico la alegra de nini,A,comuna 16,6024830244
liceocristianodejandohuella@live.com,liceo carreraistiano dejando huella,A,comuna 13,3105172582
instituto.acer@gmail.com,asociacion centransversalo de educacion y rehabilitacion acer,A,comuna 19,5511753
rectoria@corpobolvalle.edu.co,instituto bolivariano esdiseos del valle,A,comuna 2,3187353221
secretariaacademica@corpobolvalle.edu.co,instituto bolivariano esdiseos del valle,A,comuna 2,3187353221
liceopedagogicocienciayvalores@gmail.com,liceo pedaggico ciencia y valores,A,comuna 6,3112958910
directora@jardincarolina.edu.co,jardin infantil carolina,B,comuna 22,3015464419
liceocampestrepulgarcitocali@gmail.com,liceo campestransversale pulgarcito,B,comuna 19,5518760
tesorosdelsaber1986@hotmail.com,jardin infantil tesoros del saber,B,comuna 18,3147345002
inev206@hotmail.com,institucion educativa del valle,B,comuna 18,6023043985
angiej0826@gmail.com,liceo infantil y guarderia pio pio,B,comuna 10,3369165
liceoinfantilunmundodesuenos@gmail.com,liceo infantil un mundo de sueos,B,comuna 10,3369075
jarsensab@gmail.com,jardin infantil senderos de sabiduria,B,comuna 5,3122464952
jiemlosbulliciosos@gmail.com,jardin infantil y escuela maternal los bulliciosos,B,comuna 5,3182193203
lorenasantas@yahoo.com,liceo infantil estransversalellitas carreraeativas,B,comuna 4,602 3197501
liceo.inglesdelsur@hotmail.com,liceo campestransversale ingles del sur,B,comuna 54,3174346705
coordinacion@althair.edu.co,liceo althair,B,comuna 54,3147837263
althairschool@gmail.com,liceo althair,B,comuna 54,3147837263
lizeth.lb.196@gmail.com,centransversalo educativo para adultos a.b.c,B,comuna 19,3104097194
saucesdelvalle@gmail.com,liceo infantil sauces del valle,B,comuna 17,3118920700
colmifortaleza@hotmail.com,colegio mi fortaleza,B,comuna 11,3162284615
nuevaterra7@gmail.com,terra instituto,B,comuna 5,3744081
micasitadeazucar@yahoo.com,jardin infantil mi casita de azucar,B,comuna 2,3015915086
info.aprendercea@gmail.com,aprender cea centransversalo de educacin y arte,B,comuna 22,3164280845
jardininfantilpepegrillo@gmail.com,jardin infantil pepe grillo,B,comuna 19,3187988858
cdipequenosangelescali@gmail.com,centransversalo de desarrollo infantil pequeos ngeles,B,comuna 17,3183378068
majualma@gmail.com,colegio carlos castransversalo saavenidaedra,B,comuna 17,3158137936
lmentescreativasenaccion@hotmail.com,liceo infantil mentes carreraeativas en accion,B,comuna 17,3798860
colegioinvestigadores@gmail.com,colegio investigadores,B,comuna 11,6024073317
cefantasiasdelsaber@hotmail.com,centransversalo educativo fantasias del saber,B,comuna 11,6023471115
jipiolincali@gmail.com,jardin infantil piolin,B,comuna 10,3027195529
cesi01@hotmail.com,centransversalo de estudios para los sistemas de informacion cesi,B,comuna 10,3155870427
lucecitas11@hotmail.com,liceo infantil lucecitas,B,comuna 8,4382688
liceolamagiadecrear01@gmail.com,liceo la magia de carreraear,B,comuna 8,3232219812
claudiapatriciaramos1@hotmail.com,centransversalo de aprendizaje y estimulacion temprana caet,B,comuna 5,4478660
colmercedes3@gmail.com,colegio de adultos nuestransversala seora de las mercedes,B,comuna 20,3223960878
psabios@hotmail.es,liceo infantil y academia el palacio de los sabios,B,comuna 19,3770477
colcarmelitanodelvalle@gmail.com,colegio carmelitano del valle,B,comuna 19,6023450500
ceaarchivos@gmail.com,centransversalo de estudios academicos,B,comuna 16,3283433
centroeducativoinscat@gmail.com,centransversalo educativo inscat,B,comuna 16,3245299786
olgadinamica@hotmail.com,liceo mundo dinamico,B,comuna 11,3136008241
colegiolossaucescali@gmail.com,colegio los sauces,B,comuna 10,3853179
cetec20@gmail.com,educacion formal por cicalleos cetec no. 2,B,comuna 5,3168316491
institutosintraemcali806@hotmail.com,instituto sintransversalaemcali,B,comuna 3,3147943487
info@jardininfantilmundomiel.com,jardin infantil mundo miel,B,comuna 2,3188698407
cedshalom@gmail.com,centransversalo educativo shalom alejem,B,comuna 2,3177578312
jardinelpatico45@gmail.com,jardn infantil y escuela maternal el patico,B,comuna 2,3054584734
lclospinos@hotmail.com,liceo campestransversale los pinos,B,comuna 62,8888541
andresfgarcian52@gmail.com,colegio jardn infantil carreraeart,B,comuna 54,3128620529
contactos@miedadfeliz.com,liceo campestransversale mi edad feliz,B,comuna 22,3155267865
estrellita.catalina@gmail.com,maternal y jardin infantil estransversalellita de mar,B,comuna 1,8930343
info@jardininfantilelprincipito.com.co,jardin infantil y escuela maternal el principito,B,comuna 19,6023906051
mariadelapazdosman@hotmail.com,jardin infantil paraiso de los nios,B,comuna 19,6023848621
colegiolosalmendros@gmail.com,colegio los almendros,B,comuna 17,3332105
institutoipec2002@hotmail.com,inst. para el desarrollo de la ciencia,B,comuna 14,3122383118
colegiomisretonitos@hotmail.com,colegio mis retoitos,B,comuna 11,3080951
coalhori31@hotmail.com.co,colegio alegre horizonte,B,comuna 10,3182334327
cenesfu@hotmail.com,centransversalo de estudios futuros,B,comuna 9,3175407400
liceo.infantil.semillitas@hotmail.com,liceo infantil semillitas,B,comuna 5,3152333777
info@liceosobrinitos.com,liceo infantil sobrinitos,B,comuna 5,602 308 6497
l.t.dulcerefugio@hotmail.com,liceo y taller infantil mi dulce refugio,B,comuna 4,3701219
liceo.iquerubines@gmail.com,liceo infantil querubines,B,comuna 2,6026542814
info@mibebefeliz.co,centransversalo infantil mi bebe feliz-liceo galeon eu,B,comuna 2,8930795
jardininfantilexploradores@hotmail.com,centransversalo educativo jardn infantil exploradores,B,comuna 2,6659290
rincondeexperiencias@hotmail.com,liceo infantil y escuela maternal rincn de experiencias,B,comuna 19,3056894
info@jardininfantilpiruetas.com,jardin infantil piruetas sede santa isabel,B,comuna 19,3104928465
jardinmariavictoria@hotmail.com,jardin infantil maria victoria,B,comuna 19,3128348562
afirmandomispasos@yahoo.com,jardn y guardera afirmando mis pasos,B,comuna 10,3103877159
melositos90@hotmail.com,liceo infantil melositos,B,comuna 5,3146818064
eduportal2011@gmail.com,colegio portales,B,comuna 5,4307372
oficina@colegioportales.edu.co,colegio portales,B,comuna 5,4307372
orancylozano@gmail.com,jardin infantil casita de los sueos,B,comuna 5,3128314008
secretaria.centro@institutoandresbello.edu.co,instituto andres bello colombo americano,B,comuna 3,6028831963
inscat10@hotmail.com,centransversalo de estudios inscat,B,comuna 21,3147726073
alisemilla@hotmail.com,jardin infantil semillitas del futuro,B,comuna 8,3173803083
oficialtallerdelostraviesos@gmail.com,liceo taller de los transversalavenidaiesos abp,B,comuna 7,3006716742
fuentedelsabercali@gmail.com,liceo y sala maternal la fuente del saber,B,comuna 5,3167039192
colegioiteci@gmail.com,instituto tcnico de capacitacin iteci,B,comuna 1,3165690324
jardinpiruetas@gmail.com,jardin infantil piruetas,B,comuna 19,3104928465
famypilatunas@gmail.com,esc. mater. y jar. inf. pilatunas,B,comuna 19,3113602805
direccion@dempresa.edu.co,escuela de gestion y formacion empresarial,B,comuna 19,5560997
estimulemosescuelamaternal@gmail.com,estimulemos escuela maternal y centransversalo de atencion a la primera infancia,B,comuna 19,3125616
myrquin@hotmail.com,jardin infantil mirringa mirronga,B,comuna 17,3317041
ceprogresemos@hotmail.es,centransversalo educativo progresemos,B,comuna 12,4452734
aliciagomez621@hotmail.com,jardin infantil chispitas,B,comuna 11,3137599711
psocorro28@hotmail.com,instituto nuestransversala seora del perpetuo socorro,B,comuna 10,3361438
lldelsaber@hotmail.com,liceo luz del saber,B,comuna 10,3105214857
liceolasacacias2014@hotmail.com,liceo las acacias,B,comuna 10,3207333345
colegiosantateresitadeavila@gmail.com,colegio santa teresita de avenidaila,B,comuna 8,3213641359
jardininfantilpatypaticos@gmail.com,jardin infantil escuela maternal paty paticos,B,comuna 5,3155130413
lospitufosjardininfantil@hotmail.com,los pitufos jardin infantil,B,comuna 2,6541168
maternochiquimimos@gmail.com,gimnasio del norte centransversalo de estimulacion chiquimimos,B,comuna 2,3437561
jardincm@claret.edu.co,jardin parroquial corazon de maria,B,comuna 10,6023251528
colegio.liinogil@gmail.com,colegio cooperativo lino gil jaramillo,B,comuna 11,6023996129
elpequenomundo@live.com,jardin infantil el pequeo mundo,B,comuna 19,6025515939
icetcentro@gmail.com,corporacion educativa instituto colombiano de estudios tecnicos ce - icet,B,comuna 14,6028854726
liceolatinoo@gmail.com,liceo latino,B,comuna 19,3158117496
paulofreireliceo@gmail.com,liceo paulo freire,B,comuna 2,6023906723
calisedesur@gmail.com,corporacion educativa alexander von humboldt,B,comuna 19,6024016617
coleg_casaevangelica@outlook.com,colegio casa evangelica,B,comuna 9,6023450547
recepcion@agora.edu.co,colegio bilinge agora,B,comuna 52,3155842927
colvecinitos@hotmail.com,colegio vecinitos,B,comuna 11,3147654656
maternalbilinguetatas@gmail.com,escuela maternal bilingue tatas,B,comuna 22,3112118735
asistenteadministrativa@jardinhelenkeller.edu.co,colegio helen keller - sede pance,B,comuna 22,3136594494
cevida.educacionporciclos@gmail.com,centransversalo de estudios e investigacin vida cevida,B,comuna 9,6023732266
liceoiguazu@hotmail.com,liceo iguazu,B,comuna 5,3155773281
escuelamaternal@liceopiaget.edu.co,liceo piaget,B,comuna 6,3216336926
mentespsicodinamicas@gmail.com,jardn infantil mentes psicodinmicas,B,comuna 17,3183780414
maternalcometas@hotmail.com,escuela maternal y preescolar cometas,B,comuna 22,3187346799
dir.administrativa@michin.edu.co,jardin infantil michin,B,comuna 22,3116242635
liceouna@gmail.com,liceo un nuevo amanecer,B,comuna 18,3002607003
upayakids@gmail.com,jardin infantil upaya kids,B,comuna 17,3007621709
colegioaozora@hotmail.com,institucion educativa colegio aozora ltda,B,comuna 19,3209856839
ximenamelo02@hotmail.com,institucion educativa colegio aozora ltda,B,comuna 19,3209856839
lacampina17@hotmail.com,instituto la campia,B,comuna 9,3113725622
jardinsantiaguitos@usc.edu.co,jardn infantil santiaguitos,B,comuna 19,3148888817
expresar01@gmail.com,expresar jardin infantil,B,comuna 54,3155908922
carruselalegria38@hotmail.com,cent. materno infantil carrusel de la alegria,B,comuna 19,3012615797
secretaria.tayana@aspaen.edu.co,aspaen guarderia preescolar tayana,B,comuna 19,3165296924
catalina.rueda@aspaen.edu.co,aspaen guarderia preescolar tayana,B,comuna 19,3165296924
liceorealmontessori@hotmail.com,liceo real montessori,B,comuna 10,3174231297
ginaalexandra45@hotmail.com,jardin infantil buho soador,B,comuna 8,4411160
da-marin@hotmail.com,jardin infantil buho soador,B,comuna 8,4411160
rubielaayala21@hotmail.com,liceo infantil canguritos alegres,B,comuna 5,3136804784
travesuraswinny@gmail.com,jardin infantil transversalavenidaesuras de winny,B,comuna 5,3184905890
mipequenosanfranciscodeasis@hotmail.com,jardn infantil mi pequeo san francisco de ass,B,comuna 19,3147847117
mipequenosanfrancisco@gmail.com,jardn infantil mi pequeo san francisco de ass,B,comuna 19,3147847117
centroludicoentrepekes@gmail.com,jardin infantil taller carreraeativo senderos del arte,B,comuna 17,3173988026
jardincrecer@hotmail.com,centransversalo de estimulacion precoz carreraecer,B,comuna 17,3132080883
alegrecompartir@gmail.com,liceo educativo alegra de compartir,B,comuna 8,3170294350
l.geniosdelfuturo@hotmail.com,liceo infantil genios del futuro,B,comuna 8,4413695
liceogotitasdelluvia@gmail.com,liceo infantil gotitas de lluvia,B,comuna 5,4466370
liceosemillasdepaz@gmail.com,liceo semillas de paz,B,comuna 5,3052536006
asistentedespertar55@gmail.com,liceo infantil alegre despertar,B,comuna 19,3163032965
jardinarmoniainfantil@gmail.com,jardin armonia infantil,B,comuna 17,3154218
andreabarbetty@yahoo.com,liceo andrews,B,comuna 3,3008325059
colegiolosmarineritos@hotmail.com,colegio los marineritos,B,comuna 2,3162319085
colcaravana@hotmail.com,colegio caravenidaana de sorpresas,B,comuna 2,3206358524
juegosartesyletras@hotmail.com,jardn infantil juegos artes y letransversalas,B,comuna 17,316 5264808
pa.ti.miel@hotmail.com,jardin infantil jos miel,B,comuna 17,3164494668
colegiorecuerdos@hotmail.com,colegio recuerdos del nio,B,comuna 4,3217285281
morisot158@hotmail.com,jardn infantil morisot,B,comuna 19,4028932
jipdlulu@hotmail.com,jardin infantil la pandilla de lulu,B,comuna 11,3163736295
jisisabel@hotmail.com,jardn infantil y guardera santa isabel,B,comuna 11,3374746
ilivi09@hotmail.com,liceo infantil los topitos,B,comuna 5,315 4762840
orfenelly@hotmail.es,liceo risas infantiles,B,comuna 2,6542192
secretaria@pequenosgenios.edu.co,jardin infantil pequeos genios internacional,B,comuna 19,3899076
maternalidecrear@hotmail.com,maternal y jardin infantil ideas carreraeativas,B,comuna 17,3116171980
liceoeljardin@hotmail.com,liceo el jardin,B,comuna 11,3176769769
jimickeymouse@yahoo.com,jardin infantil mickey mouse,B,comuna 2,3594713
jardincasitadchocolate@gmail.com,jardin infantil casita de chocolate,B,comuna 8,3158616553
unmundoporcrear22@gmail.com,jardin infantil un mundo por carreraear,B,comuna 5,3137817747
coleprincipito@hotmail.com,colegio principito de los andes,B,comuna 5,6024477462
jardincolorin@hotmail.com,jardin infantil colorin colorado,B,comuna 2,3053432770
olga.caritafeliz@hotmail.com,materno infantil carita feliz,B,comuna 2,602 4020622
liceocarlosagarcias@hotmail.com,liceo carlos a garcia s,B,comuna 6,6024403496
tallerdeanik@tallerdeanik.edu.co,taller de anik jardn infantil,B,comuna 22,3136565075
maternal@mibambam.edu.co,preescolar bam bam,B,comuna 56,3154836276
lilianacastano999@gmail.com,jardin infantil mi casita encantada,B,comuna 17,3166913989
colegioinfantilbelen1@gmail.com,colegio infantil belen,B,comuna 22,5552227
forkids16@gmail.com,forkids jardin infantil y centransversalo de estimulacion,B,comuna 2,3234819746
